"Timestamp","Action","Source","Destination","SourceSHA256","DestinationSHA256","Result","Script","Function","ProcessId","User","Computer","Note"
"","SCRIPT_MODIFY","D:\minramas\public\portraits.html","D:\minramas\public\portraits.html","","","APPLIED","patch-collection-post.py","","","richh","","In-place edit, not a move. No archive; the prior content is in git history. added Post to Community: styles, modal markup, one button, wiring."
"","SCRIPT_MODIFY","D:\minramas\public\portraits.html","D:\minramas\public\portraits.html","","","APPLIED","patch-queue-needs-source.py","","","richh","","In-place edit, not a move. No archive; the prior content is in git history. queue now refuses an effect when no source photograph is present."
"","SCRIPT_MODIFY","D:\minramas\public\portraits.html","D:\minramas\public\portraits.html","","","APPLIED","patch-softlaunch-paywall.py","","","richh","","In-place edit, not a move. No archive; the prior content is in git history. soft launch: browse doors to the buy panel closed until credits spent."
"","SCRIPT_MODIFY","D:\minramas\public\wallpapers.html","D:\minramas\public\wallpapers.html","","","APPLIED","patch-floor-height.py","","","richh","","In-place edit, not a move. No archive; the prior content is in git history. tile cap derived from viewport height; fixes overflow above 1920."
"","SCRIPT_MODIFY","D:\minramas\public\wallpapers.html","D:\minramas\public\wallpapers.html","","","APPLIED","patch-wallpapers-type.py","","","richh","","In-place edit, not a move. No archive; the prior content is in git history. thirty type rules raised to the brand floor across three bands."
"","SCRIPT_MODIFY","D:\minramas\public\gallery.html","D:\minramas\public\gallery.html","","","APPLIED","patch-gallery-nav.py","","","richh","","In-place edit, not a move. No archive; the prior content is in git history. ported the Series switcher; nav made consistent; filter bar floated."
"","SCRIPT_MODIFY","D:\minramas\public\community.html","D:\minramas\public\community.html","","","APPLIED","patch-community-toggles.py","","","richh","","In-place edit, not a move. No archive; the prior content is in git history. The Board / Ideas toggles raised to 1.5rem."
"","SCRIPT_MODIFY","D:\minramas\public\community.html","D:\minramas\public\community.html","","","APPLIED","patch-community-signedin.py","","","richh","","In-place edit, not a move. No archive; the prior content is in git history. stopped a failed board read reporting a signed-in customer as signed out."
"","SCRIPT_MODIFY","D:\minramas\public\wallpaper-studio-V002.html","D:\minramas\public\wallpaper-studio-V002.html","","","APPLIED","patch-studio-crumb.py","","","richh","","In-place edit, not a move. No archive; the prior content is in git history. added the breadcrumb; the Studio had no route back but the dropdown."
"","SCRIPT_MODIFY","D:\minramas\middleware.ts","D:\minramas\middleware.ts","","","APPLIED","patch-middleware-panels.py","","","richh","","In-place edit, not a move. No archive; the prior content is in git history. mapped /collection, /account and /print, which had been 404ing."
"","BATCH_START","","","","","STARTED","Resize-Plates.ps1","","","richh","","Resize-Plates.ps1 -Apply. 28 plates, 9.1 MB in, 2.3 MB out, 74 percent saved."
"","GENERATED_FILE","D:\minramas\public\previews\groups\groups_art_nouveau.jpg","D:\minramas\public\previews\groups-small\groups_art_nouveau.jpg","","","RECORDED","Resize-Plates.ps1","","","richh","","Resized copy at 800px, quality 62. Source read only and NOT modified, moved or removed. 620345 bytes in, 118702 bytes out."
"","GENERATED_FILE","D:\minramas\public\previews\groups\groups_balloon_face.jpg","D:\minramas\public\previews\groups-small\groups_balloon_face.jpg","","","RECORDED","Resize-Plates.ps1","","","richh","","Resized copy at 800px, quality 62. Source read only and NOT modified, moved or removed. 169720 bytes in, 81500 bytes out."
"","GENERATED_FILE","D:\minramas\public\previews\groups\groups_bronze.jpg","D:\minramas\public\previews\groups-small\groups_bronze.jpg","","","RECORDED","Resize-Plates.ps1","","","richh","","Resized copy at 800px, quality 62. Source read only and NOT modified, moved or removed. 441016 bytes in, 72906 bytes out."
"","GENERATED_FILE","D:\minramas\public\previews\groups\groups_carved_family.jpg","D:\minramas\public\previews\groups-small\groups_carved_family.jpg","","","RECORDED","Resize-Plates.ps1","","","richh","","Resized copy at 800px, quality 62. Source read only and NOT modified, moved or removed. 625507 bytes in, 111482 bytes out."
"","GENERATED_FILE","D:\minramas\public\previews\groups\groups_clockwork.jpg","D:\minramas\public\previews\groups-small\groups_clockwork.jpg","","","RECORDED","Resize-Plates.ps1","","","richh","","Resized copy at 800px, quality 62. Source read only and NOT modified, moved or removed. 267011 bytes in, 118308 bytes out."
"","GENERATED_FILE","D:\minramas\public\previews\groups\groups_cubism.jpg","D:\minramas\public\previews\groups-small\groups_cubism.jpg","","","RECORDED","Resize-Plates.ps1","","","richh","","Resized copy at 800px, quality 62. Source read only and NOT modified, moved or removed. 577258 bytes in, 100388 bytes out."
"","GENERATED_FILE","D:\minramas\public\previews\groups\groups_ebony.jpg","D:\minramas\public\previews\groups-small\groups_ebony.jpg","","","RECORDED","Resize-Plates.ps1","","","richh","","Resized copy at 800px, quality 62. Source read only and NOT modified, moved or removed. 367952 bytes in, 62133 bytes out."
"","GENERATED_FILE","D:\minramas\public\previews\groups\groups_elizabethan.jpg","D:\minramas\public\previews\groups-small\groups_elizabethan.jpg","","","RECORDED","Resize-Plates.ps1","","","richh","","Resized copy at 800px, quality 62. Source read only and NOT modified, moved or removed. 168710 bytes in, 74821 bytes out."
"","GENERATED_FILE","D:\minramas\public\previews\groups\groups_family_impressionism.jpg","D:\minramas\public\previews\groups-small\groups_family_impressionism.jpg","","","RECORDED","Resize-Plates.ps1","","","richh","","Resized copy at 800px, quality 62. Source read only and NOT modified, moved or removed. 480745 bytes in, 60077 bytes out."
"","GENERATED_FILE","D:\minramas\public\previews\groups\groups_family_mosaic.jpg","D:\minramas\public\previews\groups-small\groups_family_mosaic.jpg","","","RECORDED","Resize-Plates.ps1","","","richh","","Resized copy at 800px, quality 62. Source read only and NOT modified, moved or removed. 756392 bytes in, 137130 bytes out."
"","GENERATED_FILE","D:\minramas\public\previews\groups\groups_folded_book.jpg","D:\minramas\public\previews\groups-small\groups_folded_book.jpg","","","RECORDED","Resize-Plates.ps1","","","richh","","Resized copy at 800px, quality 62. Source read only and NOT modified, moved or removed. 436048 bytes in, 76088 bytes out."
"","GENERATED_FILE","D:\minramas\public\previews\groups\groups_ice.jpg","D:\minramas\public\previews\groups-small\groups_ice.jpg","","","RECORDED","Resize-Plates.ps1","","","richh","","Resized copy at 800px, quality 62. Source read only and NOT modified, moved or removed. 164711 bytes in, 74345 bytes out."
"","GENERATED_FILE","D:\minramas\public\previews\groups\groups_layered_paper.jpg","D:\minramas\public\previews\groups-small\groups_layered_paper.jpg","","","RECORDED","Resize-Plates.ps1","","","richh","","Resized copy at 800px, quality 62. Source read only and NOT modified, moved or removed. 362044 bytes in, 72229 bytes out."
"","GENERATED_FILE","D:\minramas\public\previews\groups\groups_neon.jpg","D:\minramas\public\previews\groups-small\groups_neon.jpg","","","RECORDED","Resize-Plates.ps1","","","richh","","Resized copy at 800px, quality 62. Source read only and NOT modified, moved or removed. 238511 bytes in, 101435 bytes out."
"","GENERATED_FILE","D:\minramas\public\previews\groups\groups_origami.jpg","D:\minramas\public\previews\groups-small\groups_origami.jpg","","","RECORDED","Resize-Plates.ps1","","","richh","","Resized copy at 800px, quality 62. Source read only and NOT modified, moved or removed. 145084 bytes in, 68339 bytes out."
"","GENERATED_FILE","D:\minramas\public\previews\groups\groups_pencil_sketch.jpg","D:\minramas\public\previews\groups-small\groups_pencil_sketch.jpg","","","RECORDED","Resize-Plates.ps1","","","richh","","Resized copy at 800px, quality 62. Source read only and NOT modified, moved or removed. 201956 bytes in, 92528 bytes out."
"","GENERATED_FILE","D:\minramas\public\previews\groups\groups_persian_court.jpg","D:\minramas\public\previews\groups-small\groups_persian_court.jpg","","","RECORDED","Resize-Plates.ps1","","","richh","","Resized copy at 800px, quality 62. Source read only and NOT modified, moved or removed. 212795 bytes in, 93387 bytes out."
"","GENERATED_FILE","D:\minramas\public\previews\groups\groups_plushy.jpg","D:\minramas\public\previews\groups-small\groups_plushy.jpg","","","RECORDED","Resize-Plates.ps1","","","richh","","Resized copy at 800px, quality 62. Source read only and NOT modified, moved or removed. 449023 bytes in, 71733 bytes out."
"","GENERATED_FILE","D:\minramas\public\previews\groups\groups_porcelain.jpg","D:\minramas\public\previews\groups-small\groups_porcelain.jpg","","","RECORDED","Resize-Plates.ps1","","","richh","","Resized copy at 800px, quality 62. Source read only and NOT modified, moved or removed. 160608 bytes in, 74355 bytes out."
"","GENERATED_FILE","D:\minramas\public\previews\groups\groups_reclaimed_bronze.jpg","D:\minramas\public\previews\groups-small\groups_reclaimed_bronze.jpg","","","RECORDED","Resize-Plates.ps1","","","richh","","Resized copy at 800px, quality 62. Source read only and NOT modified, moved or removed. 594388 bytes in, 107395 bytes out."
"","GENERATED_FILE","D:\minramas\public\previews\groups\groups_renaissance.jpg","D:\minramas\public\previews\groups-small\groups_renaissance.jpg","","","RECORDED","Resize-Plates.ps1","","","richh","","Resized copy at 800px, quality 62. Source read only and NOT modified, moved or removed. 172957 bytes in, 75136 bytes out."
"","GENERATED_FILE","D:\minramas\public\previews\groups\groups_retro_robot.jpg","D:\minramas\public\previews\groups-small\groups_retro_robot.jpg","","","RECORDED","Resize-Plates.ps1","","","richh","","Resized copy at 800px, quality 62. Source read only and NOT modified, moved or removed. 185894 bytes in, 85769 bytes out."
"","GENERATED_FILE","D:\minramas\public\previews\groups\groups_samurai.jpg","D:\minramas\public\previews\groups-small\groups_samurai.jpg","","","RECORDED","Resize-Plates.ps1","","","richh","","Resized copy at 800px, quality 62. Source read only and NOT modified, moved or removed. 231722 bytes in, 100850 bytes out."
"","GENERATED_FILE","D:\minramas\public\previews\groups\groups_sea_glass.jpg","D:\minramas\public\previews\groups-small\groups_sea_glass.jpg","","","RECORDED","Resize-Plates.ps1","","","richh","","Resized copy at 800px, quality 62. Source read only and NOT modified, moved or removed. 212477 bytes in, 94229 bytes out."
"","GENERATED_FILE","D:\minramas\public\previews\groups\groups_stone.jpg","D:\minramas\public\previews\groups-small\groups_stone.jpg","","","RECORDED","Resize-Plates.ps1","","","richh","","Resized copy at 800px, quality 62. Source read only and NOT modified, moved or removed. 343564 bytes in, 60899 bytes out."
"","GENERATED_FILE","D:\minramas\public\previews\groups\groups_ukiyo_e.jpg","D:\minramas\public\previews\groups-small\groups_ukiyo_e.jpg","","","RECORDED","Resize-Plates.ps1","","","richh","","Resized copy at 800px, quality 62. Source read only and NOT modified, moved or removed. 622867 bytes in, 107231 bytes out."
"","GENERATED_FILE","D:\minramas\public\previews\groups\groups_victorian.jpg","D:\minramas\public\previews\groups-small\groups_victorian.jpg","","","RECORDED","Resize-Plates.ps1","","","richh","","Resized copy at 800px, quality 62. Source read only and NOT modified, moved or removed. 164708 bytes in, 73927 bytes out."
"","GENERATED_FILE","D:\minramas\public\previews\groups\groups_wild_west.jpg","D:\minramas\public\previews\groups-small\groups_wild_west.jpg","","","RECORDED","Resize-Plates.ps1","","","richh","","Resized copy at 800px, quality 62. Source read only and NOT modified, moved or removed. 192335 bytes in, 79090 bytes out."
"","BATCH_END","","","","","COMPLETED","Resize-Plates.ps1","","","richh","","28 files written to public\previews\groups-small. Originals untouched."
"","ARCHIVE_SCAN","D:\minramas\public\previews\groups","","","","NO_ACTION","Archive-LegacyPlates.ps1","","","richh","","Archive-LegacyPlates.ps1 -Apply. Output read back in session: KEEP 28, ARCHIVE 0. NOTHING WAS MOVED OR REMOVED - the legacy set had already been archived in an earlier session."
